onset	duration	trial_type
2.067	0.317	action_rest
2.367	3.15	keypress_right
2.383	3.967	action_rightwalk
3.95	5.517	onscreen_enemy
4.533	0.55	action_jump
4.533	0.433	keypress_jump
5.117	0.75	action_jump
5.117	0.333	keypress_jump
6.35	1.033	keypress_left
6.35	1.367	action_leftwalk
7.7	0.383	keypress_right
7.717	0.15	action_rest
7.867	5.217	action_rightwalk
7.9	0.367	action_jump
7.9	0.183	keypress_jump
8.05	0.017	reward_coin
8.367	0.767	keypress_right
9.167	0.417	action_jump
9.167	0.083	keypress_jump
9.35	2.717	onscreen_powerup
9.35	0.067	keypress_right
9.5	0.067	reward_enemykill_stomp
11.017	0.133	keypress_right
11.45	1.217	keypress_right
12.067	0.983	reward_powerup_taken
12.25	0.3	keypress_jump
12.85	0.067	keypress_right
13.067	1.0	keypress_left
13.083	0.183	action_rest
13.267	0.85	action_leftwalk
14.1	0.2	keypress_right
14.117	0.483	action_rest
14.133	0.25	action_jump
14.133	0.183	keypress_jump
14.217	0.017	reward_coin
14.583	0.033	keypress_right
14.6	13.283	action_rightwalk
14.883	3.9	keypress_right
15.817	7.133	onscreen_enemy
15.85	0.95	action_jump
15.85	0.7	keypress_jump
17.55	0.55	action_jump
17.55	0.333	keypress_jump
18.617	0.133	keypress_jump
18.617	0.533	action_jump
19.167	6.217	keypress_right
19.267	0.55	keypress_jump
19.267	0.583	action_jump
20.7	0.567	reward_enemykill_stomp
21.4	0.683	action_jump
21.4	0.6	keypress_jump
23.933	0.867	action_jump
23.933	0.467	keypress_jump
24.033	7.917	onscreen_enemy
25.483	0.333	action_jump
25.483	0.083	keypress_jump
25.567	0.017	reward_bricksmash
25.567	1.167	reward_enemykill_impact
25.65	0.05	keypress_right
26.317	0.75	action_jump
26.317	0.383	keypress_jump
27.883	1.35	action_leftwalk
27.883	0.633	keypress_left
28.5	0.133	keypress_jump
28.5	0.25	action_jump
28.583	0.133	keypress_right
28.583	1.717	onscreen_powerup
28.767	0.067	reward_enemykill_stomp
29.217	0.233	keypress_right
29.233	0.017	action_rest
29.25	4.967	action_rightwalk
29.75	0.55	action_jump
29.75	0.7	keypress_jump
30.05	3.467	keypress_right
30.3	1.05	reward_powerup_taken
32.733	0.95	action_jump
32.733	0.667	keypress_jump
33.383	8.233	onscreen_enemy
33.667	3.917	keypress_right
34.217	0.017	action_fire
34.217	0.133	keypress_runshoot
34.217	3.333	action_rightrun
34.367	3.217	reward_enemykill_impact
34.45	0.133	keypress_runshoot
34.45	0.017	action_fire
34.7	0.017	action_fire
34.7	0.117	keypress_runshoot
34.883	0.083	keypress_runshoot
34.883	0.017	action_fire
35.05	0.05	keypress_runshoot
35.217	0.067	keypress_runshoot
35.383	0.067	keypress_runshoot
35.567	0.067	keypress_runshoot
35.567	0.017	action_fire
35.733	0.083	keypress_runshoot
35.917	0.067	keypress_runshoot
36.1	0.017	action_fire
36.1	0.083	keypress_runshoot
36.3	0.1	keypress_runshoot
36.467	0.917	loss_powerdown
36.467	0.267	action_jump
36.5	0.117	keypress_runshoot
36.75	0.117	keypress_runshoot
37.583	4.35	action_rightwalk
37.75	0.55	keypress_right
37.933	0.333	keypress_jump
37.933	0.383	action_jump
38.433	0.2	keypress_right
38.55	0.1	keypress_jump
38.55	0.833	action_jump
39.0	0.683	reward_enemykill_stomp
39.1	0.667	keypress_right
39.35	0.4	keypress_jump
40.05	0.167	keypress_right
40.55	1.0	keypress_right
40.95	0.6	keypress_jump
40.95	0.767	action_jump
41.933	0.433	keypress_left
41.933	0.633	action_leftwalk
42.417	0.367	keypress_right
42.417	0.317	keypress_jump
42.567	0.017	action_rest
42.583	0.933	action_rightwalk
42.9	0.2	keypress_jump
42.9	0.5	action_jump
43.0	0.05	keypress_right
43.517	0.483	action_leftwalk
43.517	0.4	keypress_left
43.983	0.167	keypress_right
44.0	0.083	action_rest
44.083	11.083	action_rightwalk
44.367	0.617	keypress_right
44.5	0.617	action_jump
44.5	0.367	keypress_jump
45.217	0.867	action_jump
45.217	0.317	keypress_jump
45.25	6.9	keypress_right
46.683	0.65	keypress_jump
46.683	0.767	action_jump
47.583	0.067	keypress_jump
47.583	0.333	action_jump
48.083	0.367	keypress_jump
48.083	0.783	action_jump
49.633	0.35	keypress_jump
49.633	0.633	action_jump
50.567	4.617	onscreen_enemy
51.283	3.9	action_jump
51.283	0.15	keypress_jump
51.433	0.017	reward_coin
51.667	3.467	loss_dying
57.867	0.133	action_rest
57.983	2.1	keypress_right
58.0	2.083	action_rightwalk
58.633	0.883	action_jump
58.633	0.483	keypress_jump
59.033	1.05	onscreen_enemy
59.683	0.4	action_jump
59.683	0.4	keypress_jump
