onset	duration	trial_type
0.0	0.383	action_jump
0.0	0.617	reward_enemykill_stomp
0.0	0.633	action_rightwalk
0.0	0.617	onscreen_enemy
0.633	0.217	keypress_left
0.633	1.267	action_leftwalk
1.883	2.917	keypress_right
1.9	0.017	action_rest
1.917	19.65	action_rightwalk
2.683	0.667	action_jump
2.683	0.567	keypress_jump
4.0	0.783	keypress_jump
4.0	0.817	action_jump
4.767	0.017	reward_coin
4.933	0.117	keypress_right
4.95	0.083	keypress_jump
4.95	0.467	action_jump
4.983	0.017	reward_coin
5.267	0.017	reward_coin
5.317	0.017	reward_coin
5.433	0.4	keypress_right
5.5	0.95	action_jump
5.5	0.167	keypress_jump
5.533	0.017	reward_coin
5.567	6.933	onscreen_enemy
5.933	0.017	reward_coin
6.383	0.9	keypress_right
6.75	0.5	keypress_jump
6.75	1.233	action_jump
7.617	0.7	reward_enemykill_stomp
7.7	0.4	keypress_right
7.717	0.35	keypress_jump
8.167	0.583	action_jump
8.167	0.367	keypress_jump
8.2	3.667	keypress_right
8.85	0.8	keypress_jump
8.85	0.883	action_jump
10.483	0.633	reward_enemykill_stomp
10.617	0.083	keypress_jump
11.033	0.483	action_jump
11.033	0.233	keypress_jump
12.283	0.517	keypress_right
12.4	0.583	action_jump
12.4	0.367	keypress_jump
13.067	0.467	keypress_right
13.1	0.933	action_jump
13.1	0.333	keypress_jump
13.733	1.3	keypress_right
13.767	8.817	onscreen_enemy
14.317	1.117	action_jump
14.317	0.667	keypress_jump
15.117	0.55	reward_enemykill_stomp
15.283	0.25	keypress_right
15.483	0.283	action_jump
15.483	0.033	keypress_jump
15.717	0.117	keypress_right
15.733	0.067	keypress_jump
16.117	6.133	keypress_right
16.5	0.817	action_jump
16.5	0.483	keypress_jump
17.467	0.7	action_jump
17.467	0.367	keypress_jump
18.9	0.967	action_jump
18.9	0.483	keypress_jump
19.933	0.35	keypress_jump
19.933	0.833	action_jump
21.567	0.283	action_rightrun
21.567	0.367	keypress_runshoot
21.85	0.717	action_rightwalk
22.717	4.183	onscreen_enemy
23.517	5.4	keypress_right
24.6	0.017	action_rest
24.617	5.55	action_rightwalk
24.85	0.75	action_jump
24.85	0.567	keypress_jump
25.667	0.45	keypress_jump
25.667	0.667	action_jump
26.533	0.133	keypress_jump
26.533	0.417	action_jump
27.233	11.233	onscreen_enemy
28.167	0.683	keypress_jump
28.167	0.533	action_jump
30.167	0.05	action_rest
30.217	8.25	action_rightwalk
30.35	0.367	keypress_right
30.483	0.05	keypress_runshoot
31.433	4.35	reward_bricksmash
40.35	2.083	keypress_right
40.35	0.017	action_rest
40.367	1.0	action_rightwalk
40.633	0.717	action_jump
40.633	0.35	keypress_jump
41.133	1.0	keypress_runshoot
41.367	1.333	action_rightrun
42.167	0.517	action_jump
42.167	0.183	keypress_jump
42.65	17.4	onscreen_enemy
42.783	0.733	keypress_right
42.817	1.1	action_rightwalk
42.883	0.767	action_jump
42.883	0.65	keypress_jump
43.9	0.217	keypress_left
43.917	0.083	action_rest
44.0	4.867	action_leftwalk
44.367	0.267	keypress_left
45.3	0.217	keypress_left
46.05	0.15	keypress_runshoot
46.383	0.133	keypress_runshoot
47.567	0.183	keypress_left
47.967	0.05	keypress_left
48.85	0.133	keypress_right
48.867	0.017	action_rest
48.883	8.217	action_rightwalk
49.1	0.5	keypress_right
49.433	0.5	action_jump
49.433	0.15	keypress_jump
50.217	3.25	keypress_right
51.6	0.767	action_jump
51.6	0.433	keypress_jump
52.5	0.5	keypress_jump
52.5	0.617	action_jump
53.133	0.267	keypress_jump
53.133	0.683	action_jump
54.0	0.533	keypress_right
54.217	0.167	keypress_jump
54.217	1.15	action_jump
54.917	0.017	reward_coin
55.417	0.15	keypress_jump
55.417	0.183	keypress_right
55.417	0.6	action_jump
56.1	0.383	keypress_jump
56.1	0.383	keypress_right
56.1	0.517	action_jump
57.033	0.567	keypress_left
57.1	0.117	action_rest
57.217	2.833	action_leftwalk
58.2	0.183	keypress_left
58.9	0.133	keypress_jump
58.9	0.483	action_jump
59.45	0.283	keypress_left
59.95	0.1	action_jump
59.95	0.083	keypress_jump
60.017	0.033	onscreen_powerup
