onset	duration	trial_type
0.0	1.467	action_rightwalk
0.0	1.467	onscreen_enemy
1.117	0.333	keypress_right
3.333	0.633	action_rest
3.95	0.217	keypress_right
3.967	1.767	action_rightwalk
4.667	0.267	keypress_right
5.217	2.383	keypress_right
5.733	2.283	keypress_runshoot
5.733	0.017	action_rightrun
5.75	0.433	keypress_jump
5.75	0.833	action_jump
5.75	0.85	action_rightwalk
6.6	0.217	action_rightrun
6.817	0.217	keypress_jump
6.817	0.467	action_jump
6.817	0.483	action_rightwalk
7.3	0.667	action_rightrun
7.4	21.883	onscreen_enemy
7.417	0.2	keypress_jump
7.417	0.533	action_jump
7.767	0.333	keypress_left
7.967	0.017	action_rightwalk
7.983	0.317	action_rest
8.283	0.317	keypress_right
8.3	1.667	action_rightwalk
8.75	0.7	keypress_right
9.517	0.267	keypress_right
9.95	0.05	keypress_left
9.967	0.25	action_rest
10.2	0.817	keypress_right
10.217	0.95	action_rightwalk
11.15	0.05	keypress_left
11.167	0.267	action_rest
11.417	1.083	keypress_right
11.433	1.633	action_rightwalk
12.917	1.167	keypress_right
13.067	13.033	keypress_runshoot
13.067	0.117	action_rightrun
13.183	0.983	action_rightwalk
13.183	0.917	action_jump
13.183	0.533	keypress_jump
13.45	0.017	reward_coin
13.5	0.017	reward_coin
13.65	0.017	reward_coin
13.817	0.017	reward_coin
14.15	0.233	keypress_left
14.167	0.183	action_rest
14.35	0.033	action_leftrun
14.383	0.133	action_leftwalk
14.5	0.783	keypress_right
14.517	0.017	action_rest
14.533	0.75	action_rightrun
15.333	0.683	action_rightrun
15.333	0.083	keypress_right
15.4	0.2	keypress_jump
15.4	0.6	action_jump
15.5	0.367	keypress_right
16.067	0.75	action_rightrun
16.067	0.25	keypress_right
16.133	0.667	action_jump
16.133	0.25	keypress_jump
16.367	0.017	reward_coin
16.517	0.017	reward_coin
16.55	0.017	reward_coin
16.617	0.117	keypress_left
16.867	0.183	action_rightrun
16.867	0.183	keypress_right
17.15	0.467	keypress_left
17.433	0.183	action_leftrun
17.617	0.267	action_leftwalk
17.867	1.1	keypress_right
17.883	0.017	action_rest
17.9	0.333	action_rightrun
18.233	0.6	keypress_jump
18.233	1.033	action_rightwalk
18.233	0.95	action_jump
19.25	0.067	keypress_left
19.267	0.183	action_rest
19.45	0.083	action_leftwalk
19.517	0.683	keypress_right
19.533	0.017	action_rest
19.55	0.433	action_rightrun
19.983	0.95	action_jump
19.983	0.75	keypress_jump
19.983	1.4	action_rightwalk
20.25	0.017	reward_coin
20.417	0.017	reward_coin
20.483	0.017	reward_coin
20.617	0.017	reward_coin
20.7	0.25	keypress_left
21.383	0.217	action_rightrun
21.383	0.217	keypress_right
21.6	0.15	action_rightwalk
21.75	0.35	keypress_right
21.75	0.35	action_rightrun
22.1	0.4	action_rightwalk
22.5	0.883	keypress_right
22.5	1.317	action_rightrun
23.0	0.8	action_jump
23.0	0.383	keypress_jump
23.483	0.217	keypress_left
23.817	0.017	action_rightwalk
23.9	0.067	keypress_right
23.9	0.067	action_rightrun
23.967	0.017	action_rightwalk
24.45	0.467	keypress_right
24.45	0.467	action_rightrun
24.917	0.2	action_rightwalk
25.1	0.233	keypress_left
25.117	0.117	action_rest
25.233	0.1	action_leftrun
25.333	0.2	action_leftwalk
25.517	0.183	keypress_right
25.533	0.017	action_rest
25.55	0.3	action_rightrun
25.583	3.7	action_jump
25.583	3.65	loss_dying
25.85	3.417	action_rightwalk
26.5	0.367	keypress_jump
27.083	0.217	keypress_jump
27.617	0.15	keypress_jump
