onset	duration	trial_type
0.0	42.133	onscreen_enemy
0.0	0.683	action_rightwalk
0.683	0.083	keypress_left
0.683	0.733	action_leftwalk
1.017	0.217	keypress_left
1.4	0.517	keypress_right
1.417	0.017	action_rest
1.433	0.733	action_rightwalk
2.0	0.4	keypress_left
2.167	0.05	action_rest
2.217	1.867	action_leftwalk
4.05	0.65	keypress_left
4.083	0.667	keypress_runshoot
4.083	0.067	action_leftrun
4.15	0.65	action_leftwalk
4.15	0.617	keypress_jump
4.15	0.583	action_jump
4.783	0.2	keypress_right
4.8	0.183	action_rest
4.983	1.817	action_rightwalk
5.217	0.983	keypress_right
5.45	0.817	action_jump
5.45	0.733	keypress_jump
5.517	0.017	reward_coin
6.567	0.3	keypress_jump
6.567	0.217	action_jump
6.617	0.283	keypress_left
6.633	1.383	onscreen_powerup
6.8	2.7	action_leftwalk
6.817	0.067	reward_enemykill_stomp
7.85	1.5	keypress_jump
7.85	0.167	action_jump
8.017	0.983	reward_powerup_taken
8.117	1.233	keypress_left
9.483	0.083	keypress_right
9.5	0.017	action_rest
9.517	5.1	action_rightwalk
14.533	0.733	keypress_right
14.617	0.883	keypress_runshoot
14.617	0.2	action_rightrun
14.817	0.85	action_jump
14.817	0.883	action_rightwalk
14.817	0.333	keypress_jump
15.633	0.1	keypress_left
15.7	0.117	action_rest
15.8	0.633	keypress_right
15.817	1.617	action_rightwalk
15.833	1.217	action_jump
15.833	0.55	keypress_jump
16.633	0.417	keypress_left
17.367	0.65	keypress_right
17.433	1.133	keypress_runshoot
17.433	0.217	action_rightrun
17.65	0.917	keypress_jump
17.65	0.867	action_jump
17.65	0.5	action_rightwalk
18.133	0.267	keypress_left
18.15	0.017	action_leftwalk
18.167	0.367	action_rest
18.433	0.133	keypress_left
18.55	0.017	action_leftrun
18.567	0.083	action_leftwalk
18.65	0.117	keypress_left
18.65	0.067	action_leftrun
18.717	0.317	action_leftwalk
19.017	0.95	keypress_right
19.033	0.083	action_rest
19.117	0.033	action_rightwalk
19.15	1.0	keypress_runshoot
19.15	0.317	action_rightrun
19.467	0.667	action_jump
19.467	0.683	keypress_jump
19.467	0.7	action_rightwalk
20.083	0.167	keypress_left
20.167	0.167	action_rest
20.283	0.083	keypress_left
20.333	0.367	action_leftwalk
20.683	0.733	keypress_right
20.7	0.017	action_rest
20.717	1.817	action_rightwalk
21.0	0.75	action_jump
21.0	0.45	keypress_jump
21.633	0.5	keypress_right
21.717	0.017	reward_coin
21.85	0.65	action_jump
21.85	0.283	keypress_jump
22.233	0.4	keypress_left
22.533	0.067	action_rest
22.6	0.733	action_leftwalk
23.317	1.167	keypress_right
23.333	0.017	action_rest
23.35	2.833	action_rightwalk
23.5	0.633	action_jump
23.5	0.4	keypress_jump
24.217	0.567	action_jump
24.217	0.25	keypress_jump
24.567	0.1	keypress_left
24.7	0.017	reward_coin
24.767	0.017	reward_coin
24.8	0.45	keypress_right
24.967	0.017	reward_coin
25.017	0.917	action_jump
25.017	0.183	keypress_jump
25.4	0.1	keypress_left
25.917	0.083	keypress_right
26.167	0.433	keypress_left
26.183	0.25	action_rest
26.2	1.083	action_jump
26.2	0.783	keypress_jump
26.433	0.983	action_leftwalk
26.717	0.117	keypress_right
27.033	0.283	keypress_left
27.4	0.383	keypress_right
27.417	0.017	action_rest
27.433	0.75	action_rightwalk
28.183	0.167	action_leftwalk
28.183	0.033	keypress_left
28.333	0.333	keypress_right
28.35	0.017	action_rest
28.367	0.7	action_rightwalk
28.85	0.233	keypress_left
29.067	0.167	action_leftwalk
29.217	0.9	keypress_right
29.233	0.017	action_rest
29.25	1.033	action_rightwalk
29.383	0.75	keypress_jump
29.383	0.867	action_jump
30.233	0.067	keypress_left
30.283	0.117	action_rest
30.383	0.6	keypress_right
30.4	1.017	action_rightwalk
30.483	0.9	action_jump
30.483	0.517	keypress_jump
30.65	0.017	reward_coin
30.783	0.017	reward_coin
30.95	0.017	reward_coin
31.133	0.017	reward_coin
31.267	0.367	keypress_left
31.417	0.133	action_rest
31.55	0.333	action_leftwalk
31.867	0.117	keypress_right
31.883	0.017	action_rest
31.9	1.4	action_rightwalk
32.167	0.967	keypress_right
32.5	0.583	action_jump
32.5	0.633	keypress_jump
33.283	0.367	keypress_left
33.3	0.117	action_rest
33.417	0.367	action_leftwalk
33.767	0.4	keypress_right
33.783	0.017	action_rest
33.8	0.067	action_rightwalk
33.867	0.3	action_rightrun
33.867	0.35	keypress_runshoot
34.167	0.133	action_rightwalk
34.283	0.217	keypress_left
34.3	0.083	action_rest
34.383	0.333	action_leftwalk
34.7	0.167	keypress_right
34.717	0.017	action_rest
34.733	0.583	action_rightwalk
34.783	0.4	keypress_jump
34.783	1.017	action_jump
35.15	0.333	keypress_left
35.317	0.017	action_leftwalk
35.333	0.5	action_rest
35.767	0.917	keypress_right
35.767	1.117	keypress_runshoot
35.833	1.283	action_rightrun
36.283	0.6	keypress_jump
36.283	5.85	action_jump
36.817	1.133	keypress_left
37.117	0.683	action_rightwalk
37.383	0.55	keypress_jump
37.8	0.017	action_leftwalk
37.817	4.3	action_rest
41.7	0.133	keypress_jump
43.583	0.167	keypress_runshoot
43.917	0.133	keypress_jump
44.583	27.5	onscreen_enemy
44.733	0.3	action_rest
45.017	0.117	keypress_right
45.033	0.833	action_rightwalk
45.817	0.65	keypress_right
45.867	0.3	action_rightrun
45.867	1.033	keypress_runshoot
46.167	0.45	keypress_jump
46.167	1.167	action_rightwalk
46.167	0.85	action_jump
46.433	0.017	reward_coin
46.5	0.017	reward_coin
46.617	0.333	keypress_left
46.683	0.017	reward_coin
47.283	0.9	keypress_right
47.333	0.867	keypress_runshoot
47.333	0.133	action_rightrun
47.467	0.583	action_jump
47.467	0.6	action_rightwalk
47.467	0.717	keypress_jump
48.067	0.117	action_rightrun
48.367	0.183	keypress_left
48.533	0.333	action_leftwalk
48.85	0.833	keypress_right
48.867	0.017	action_rest
48.883	4.0	action_rightwalk
49.467	0.867	action_jump
49.467	0.333	keypress_jump
49.967	0.117	keypress_left
50.417	0.633	keypress_jump
50.417	0.133	keypress_right
