onset	duration	trial_type
0.0	2.117	onscreen_enemy
0.0	3.417	action_rightwalk
0.9	0.383	keypress_right
1.533	0.167	keypress_right
1.833	1.117	keypress_right
2.5	0.883	action_jump
2.5	0.483	keypress_jump
3.05	0.467	keypress_left
3.2	2.4	onscreen_enemy
3.417	0.033	action_rest
3.45	0.267	action_leftwalk
3.7	0.55	keypress_right
3.717	0.017	action_rest
3.733	8.867	action_rightwalk
4.017	0.167	keypress_jump
4.017	0.533	action_jump
4.45	0.117	keypress_left
4.733	0.317	keypress_right
4.8	0.25	keypress_jump
4.8	0.617	action_jump
5.167	0.25	keypress_left
5.567	0.517	keypress_right
5.783	0.25	keypress_jump
5.783	0.617	action_jump
6.467	0.217	keypress_right
6.533	19.933	onscreen_enemy
6.667	0.417	keypress_jump
6.667	0.817	action_jump
6.95	0.4	keypress_left
7.1	0.017	reward_coin
7.583	0.083	keypress_right
7.95	0.167	keypress_jump
7.95	1.417	action_jump
7.983	0.15	keypress_right
8.217	0.15	keypress_right
8.433	1.033	reward_enemykill_stomp
8.65	0.133	keypress_left
8.933	2.233	keypress_right
10.1	0.633	action_jump
10.1	0.517	keypress_jump
10.833	0.983	action_jump
10.833	0.317	keypress_jump
11.267	0.3	keypress_left
11.683	1.383	keypress_right
11.95	0.417	keypress_jump
11.95	0.6	action_jump
12.6	0.917	action_rightrun
12.6	0.517	keypress_runshoot
12.817	0.917	action_jump
12.817	0.3	keypress_jump
13.217	0.417	keypress_left
13.417	0.017	reward_coin
13.517	0.333	action_rightwalk
13.75	0.267	keypress_right
13.85	0.65	action_rightrun
13.85	0.45	keypress_runshoot
13.95	0.367	keypress_jump
13.95	0.533	action_jump
14.15	0.283	keypress_right
14.533	0.333	action_rightrun
14.6	0.767	keypress_left
14.9	0.483	keypress_jump
14.9	0.883	action_jump
15.35	0.017	reward_coin
15.467	1.067	keypress_right
15.6	1.0	keypress_runshoot
15.817	1.55	action_rightrun
16.167	0.433	keypress_jump
16.167	0.583	action_jump
16.633	0.1	keypress_left
16.767	0.95	action_jump
16.767	0.267	keypress_jump
17.133	0.017	reward_coin
17.167	0.333	keypress_left
17.367	0.617	action_rightwalk
17.683	0.167	keypress_right
17.967	0.3	keypress_left
17.983	0.15	action_rest
18.133	1.6	action_leftwalk
18.217	1.483	action_jump
18.217	0.217	keypress_jump
18.333	0.117	keypress_left
18.567	0.167	keypress_right
18.767	1.2	reward_enemykill_stomp
18.85	0.15	keypress_left
19.117	0.267	keypress_left
19.517	1.317	keypress_right
19.733	0.05	action_rest
19.783	1.467	action_rightrun
19.783	1.067	keypress_runshoot
20.5	0.35	keypress_jump
20.5	0.767	action_jump
20.95	0.45	keypress_left
21.6	0.35	keypress_jump
21.6	1.05	action_jump
21.733	0.167	keypress_right
21.983	0.583	keypress_left
22.267	1.133	reward_enemykill_stomp
22.8	0.667	keypress_right
22.883	0.967	action_rightwalk
23.4	3.067	reward_enemykill_kick
23.483	1.617	reward_enemykill_impact
23.717	0.45	keypress_right
23.85	0.317	action_rightrun
23.85	0.8	keypress_runshoot
24.283	0.317	keypress_right
24.283	0.317	action_rightrun
24.75	0.117	keypress_left
25.1	0.183	keypress_right
25.15	0.95	action_rightwalk
25.467	0.25	keypress_jump
25.467	0.617	action_jump
25.483	0.967	keypress_right
25.917	0.517	keypress_runshoot
26.1	0.35	action_rightrun
26.7	1.0	keypress_right
26.733	1.933	action_rightwalk
27.067	0.7	action_jump
27.067	0.5	keypress_jump
27.15	4.017	onscreen_enemy
27.8	0.25	keypress_down
28.15	0.317	keypress_right
28.667	0.133	keypress_left
28.667	0.583	action_leftwalk
29.233	0.233	keypress_right
29.25	0.017	action_rest
29.267	2.833	action_rightwalk
29.333	1.583	action_jump
29.333	0.15	keypress_jump
29.683	0.033	keypress_right
30.0	1.167	reward_enemykill_stomp
30.25	0.75	keypress_right
31.133	0.567	keypress_right
31.383	0.583	keypress_jump
31.383	0.683	action_jump
31.433	8.583	onscreen_enemy
31.883	0.217	keypress_left
32.1	0.733	action_rest
32.217	0.7	keypress_jump
32.217	0.583	action_jump
32.367	1.083	keypress_right
32.833	0.267	action_rightwalk
33.1	0.317	keypress_runshoot
33.1	0.35	action_rightrun
33.733	0.133	keypress_right
33.75	2.167	action_rightwalk
33.75	0.133	keypress_jump
33.75	1.033	action_jump
34.05	0.133	keypress_left
35.283	1.033	action_jump
35.283	0.333	keypress_jump
