onset	duration	trial_type
0.0	65.333	onscreen_enemy
0.0	5.55	action_rightwalk
5.55	2.133	action_rest
7.667	2.583	keypress_right
7.683	4.5	action_rightwalk
10.483	0.317	keypress_right
11.217	1.1	keypress_right
11.6	0.383	keypress_jump
11.6	10.6	keypress_runshoot
11.6	0.567	action_jump
12.183	0.133	action_rightrun
12.317	0.167	action_rightwalk
12.483	0.067	keypress_right
12.483	0.067	action_rightrun
12.55	0.45	action_rightwalk
12.983	0.1	keypress_left
13.0	0.317	action_rest
13.067	0.367	keypress_jump
13.067	0.367	action_jump
13.183	0.383	keypress_left
13.217	1.533	onscreen_powerup
13.317	0.133	action_leftwalk
13.35	0.067	reward_enemykill_stomp
13.45	0.117	action_leftrun
13.567	0.417	action_leftwalk
13.967	0.383	keypress_right
13.983	0.017	action_rest
14.0	0.35	action_rightrun
14.35	0.117	action_rightwalk
14.45	0.1	keypress_left
14.467	0.083	action_rest
14.55	2.333	action_leftwalk
14.667	0.3	keypress_jump
14.667	0.083	action_jump
14.75	0.983	reward_powerup_taken
14.85	0.283	keypress_right
15.267	0.15	keypress_left
16.283	0.55	action_jump
16.283	0.483	keypress_jump
16.383	0.3	keypress_left
16.867	0.167	keypress_right
16.883	0.017	action_rest
16.9	0.133	action_rightrun
17.033	0.2	action_rightwalk
17.083	0.283	keypress_jump
17.083	0.233	action_jump
17.167	0.017	reward_coin
17.233	0.117	keypress_left
17.233	0.017	action_leftwalk
17.25	0.083	action_rest
17.35	0.383	action_leftwalk
17.733	0.3	action_leftrun
17.733	0.3	keypress_left
18.033	0.533	action_leftwalk
18.05	1.2	action_jump
18.05	0.9	keypress_jump
18.117	0.783	keypress_right
18.567	0.017	action_rightwalk
18.583	0.7	action_rest
19.283	0.2	action_leftwalk
19.467	0.183	keypress_right
19.483	0.017	action_rest
19.5	0.15	action_rightrun
19.65	0.1	action_rightwalk
19.75	0.133	keypress_right
19.75	0.133	action_rightrun
19.883	0.083	action_rightwalk
19.967	0.667	keypress_right
19.967	0.35	action_rightrun
20.317	0.733	action_jump
20.317	0.833	action_rightwalk
20.317	0.317	keypress_jump
20.717	0.267	keypress_left
21.15	0.15	action_rightrun
21.15	2.333	keypress_right
21.3	0.95	action_jump
21.3	1.633	action_rightwalk
21.3	0.867	keypress_jump
22.933	9.15	keypress_runshoot
22.933	1.283	action_rightrun
23.083	0.4	keypress_jump
23.083	0.817	action_jump
23.15	0.017	reward_coin
23.233	0.017	reward_coin
23.333	0.017	reward_coin
23.833	0.383	keypress_right
24.55	0.567	action_rightrun
24.55	0.567	keypress_right
25.4	0.367	action_rightrun
25.4	0.367	keypress_right
25.833	0.217	action_jump
25.833	0.233	action_rightrun
25.833	0.267	keypress_jump
25.85	0.367	keypress_left
25.9	0.017	reward_coin
26.217	0.233	action_jump
26.217	0.233	keypress_jump
26.3	0.017	reward_coin
26.5	0.15	keypress_right
26.533	0.117	action_rightrun
26.65	0.25	action_rightwalk
26.9	0.217	keypress_right
26.9	0.217	action_rightrun
27.117	0.117	action_rightwalk
27.183	0.55	action_jump
27.183	0.5	keypress_jump
27.233	0.017	action_leftwalk
27.233	0.45	keypress_left
27.25	0.533	action_rest
27.783	0.083	keypress_left
27.783	0.017	action_leftwalk
27.8	0.067	action_leftrun
27.867	0.167	action_leftwalk
27.933	0.233	action_jump
27.933	0.25	keypress_jump
28.017	0.017	reward_coin
28.017	0.55	keypress_right
28.033	0.017	action_rightwalk
28.05	0.133	action_rest
28.2	0.05	action_rightrun
28.25	0.65	action_rightwalk
28.617	0.267	action_jump
28.617	0.917	loss_powerdown
28.717	0.233	keypress_jump
28.767	1.15	keypress_right
28.9	1.017	action_rightrun
30.25	0.35	keypress_left
30.25	0.3	keypress_up
30.417	0.183	action_leftrun
30.6	0.25	action_leftwalk
