onset	duration	trial_type
0.0	1.133	action_rightwalk
0.0	0.117	action_jump
0.0	10.65	onscreen_enemy
0.383	0.333	keypress_right
1.117	0.683	keypress_left
1.133	0.067	action_rest
1.2	9.433	action_leftwalk
2.483	0.133	keypress_jump
2.483	0.483	action_jump
3.167	0.25	keypress_left
3.6	0.15	keypress_jump
3.6	0.367	action_jump
3.75	0.017	reward_coin
4.15	0.217	keypress_jump
4.15	0.367	action_jump
4.3	0.017	reward_coin
4.667	0.367	action_jump
4.667	0.267	keypress_jump
4.817	0.017	reward_coin
5.2	0.367	action_jump
5.2	0.183	keypress_jump
5.35	0.017	reward_coin
5.7	0.217	keypress_jump
5.7	0.367	action_jump
5.85	0.017	reward_coin
6.183	0.367	action_jump
6.183	0.217	keypress_jump
6.333	0.017	reward_coin
6.7	0.167	keypress_jump
6.7	0.367	action_jump
6.85	0.017	reward_coin
7.15	3.45	loss_dying
7.15	3.5	action_jump
7.183	0.267	keypress_jump
13.4	2.533	keypress_right
13.5	0.017	action_rest
13.517	5.35	action_rightwalk
14.183	0.8	keypress_jump
14.183	0.95	action_jump
14.55	11.133	onscreen_enemy
15.65	0.217	keypress_jump
15.65	0.733	action_jump
15.8	0.017	reward_coin
16.017	0.65	reward_enemykill_stomp
16.533	0.4	action_jump
16.533	0.033	keypress_jump
17.55	0.45	keypress_right
17.933	0.067	keypress_jump
17.933	0.7	action_jump
18.283	1.033	reward_enemykill_stomp
18.867	0.7	action_leftwalk
18.867	0.6	keypress_left
19.317	0.833	reward_enemykill_kick
19.467	0.833	reward_enemykill_impact
19.55	0.867	keypress_right
19.567	0.133	action_rest
19.7	5.983	action_rightwalk
20.617	0.117	keypress_jump
20.617	0.4	action_jump
20.783	0.017	reward_coin
20.817	0.083	keypress_right
21.267	0.5	keypress_right
21.5	0.233	keypress_jump
21.5	0.65	action_jump
22.183	3.467	loss_dying
22.183	3.5	action_jump
22.55	0.033	keypress_right
27.733	2.55	keypress_right
27.75	0.017	action_rest
27.767	4.983	action_rightwalk
29.333	4.583	onscreen_enemy
29.933	0.4	action_jump
29.933	0.333	keypress_jump
30.567	0.083	keypress_jump
30.567	0.733	action_jump
30.567	0.117	keypress_right
31.4	0.2	keypress_right
31.5	0.083	keypress_jump
31.5	0.417	action_jump
32.75	1.05	action_leftwalk
32.75	0.733	keypress_left
33.783	0.183	keypress_right
33.8	0.05	action_rest
33.85	13.967	action_rightwalk
34.217	0.117	keypress_jump
34.217	0.383	action_jump
34.383	2.733	onscreen_powerup
34.517	0.067	reward_enemykill_stomp
34.817	0.567	keypress_right
36.467	10.533	keypress_right
37.117	0.983	reward_powerup_taken
37.2	0.083	keypress_jump
38.0	0.983	keypress_jump
38.117	0.95	action_jump
38.15	6.633	onscreen_enemy
39.633	0.383	keypress_jump
39.633	0.6	action_jump
41.017	0.583	action_jump
41.017	0.467	keypress_jump
42.317	0.433	reward_enemykill_stomp
42.917	0.633	action_jump
42.917	0.517	keypress_jump
45.3	0.667	keypress_jump
45.3	0.95	action_jump
45.567	10.183	onscreen_enemy
47.05	0.033	keypress_jump
47.05	0.35	action_jump
47.133	1.167	reward_enemykill_impact
47.133	0.017	reward_bricksmash
47.217	0.05	keypress_right
47.8	0.583	keypress_left
47.817	0.017	action_rest
47.833	1.783	action_leftwalk
48.367	0.25	action_jump
48.367	0.1	keypress_jump
48.45	3.633	onscreen_powerup
48.483	0.117	keypress_right
48.583	0.067	reward_enemykill_stomp
48.65	0.583	keypress_left
48.717	0.917	loss_powerdown
48.717	0.267	action_jump
49.5	0.317	keypress_right
49.617	0.167	action_rest
49.783	3.3	action_rightwalk
50.25	0.7	action_jump
50.25	0.333	keypress_jump
51.0	0.283	keypress_right
51.6	0.483	action_jump
51.6	0.533	keypress_jump
51.617	0.817	keypress_right
52.083	0.983	reward_powerup_taken
52.85	0.017	keypress_right
53.067	0.433	keypress_left
53.083	0.717	action_leftwalk
53.783	0.267	keypress_right
53.8	0.017	action_rest
53.817	0.45	action_rightwalk
54.267	0.583	action_leftwalk
54.267	0.5	keypress_left
54.833	3.8	keypress_right
54.85	0.1	action_rest
54.95	5.117	action_rightwalk
56.967	0.95	action_jump
56.967	0.75	keypress_jump
57.65	2.417	onscreen_enemy
58.183	0.567	action_jump
58.183	0.45	keypress_jump
59.183	0.517	reward_enemykill_stomp
59.933	0.133	keypress_right
