onset	duration	trial_type
0.0	16.1	action_rightwalk
0.9	0.167	keypress_right
1.45	0.383	action_jump
1.45	0.05	keypress_jump
1.85	0.4	action_jump
1.85	0.35	keypress_jump
2.017	0.017	reward_coin
2.383	0.267	keypress_jump
2.383	0.4	action_jump
2.55	0.017	reward_coin
2.85	0.367	action_jump
2.85	0.233	keypress_jump
3.167	3.9	keypress_right
4.083	0.417	action_jump
4.083	0.25	keypress_jump
5.283	15.417	onscreen_enemy
6.367	0.567	action_jump
6.367	0.25	keypress_jump
6.45	0.017	reward_bricksmash
6.533	3.683	reward_enemykill_stomp
8.05	0.167	keypress_jump
8.05	0.233	action_jump
8.133	0.017	reward_bricksmash
8.4	0.267	action_jump
8.4	0.917	loss_powerdown
8.55	0.2	keypress_jump
9.083	0.133	keypress_jump
9.083	0.85	action_jump
9.35	0.267	keypress_jump
9.9	0.85	reward_enemykill_kick
10.15	0.783	keypress_right
10.217	0.833	reward_enemykill_impact
11.383	0.067	keypress_right
14.15	1.033	action_jump
14.15	0.333	keypress_jump
14.8	0.333	reward_enemykill_stomp
14.917	2.4	keypress_right
15.133	2.517	reward_enemykill_kick
15.35	1.6	reward_enemykill_impact
16.1	1.0	keypress_runshoot
16.1	1.15	action_rightrun
17.283	10.083	action_rightwalk
17.917	0.683	keypress_right
18.217	0.3	keypress_jump
18.217	0.367	action_jump
18.883	0.467	keypress_right
18.95	0.317	keypress_jump
18.95	0.767	action_jump
19.3	0.467	reward_enemykill_stomp
19.667	1.067	keypress_right
20.233	0.417	keypress_jump
20.233	0.817	action_jump
20.883	0.383	keypress_right
21.767	1.733	keypress_right
22.0	5.383	onscreen_enemy
23.4	3.983	action_jump
23.4	0.083	keypress_jump
23.867	3.467	loss_dying
23.983	0.133	keypress_right
24.033	0.1	keypress_jump
25.983	2.067	keypress_right
28.25	4.233	keypress_right
30.217	2.85	onscreen_enemy
30.233	0.3	action_rest
30.533	6.483	action_rightwalk
32.183	0.217	keypress_jump
32.183	0.733	action_jump
32.333	0.017	reward_coin
32.55	0.517	reward_enemykill_stomp
32.983	0.583	keypress_jump
32.983	0.817	action_jump
33.483	3.783	onscreen_enemy
33.7	2.483	keypress_right
33.917	0.867	keypress_jump
33.917	1.083	action_jump
35.117	0.433	action_jump
35.117	0.4	keypress_jump
36.617	0.65	reward_enemykill_stomp
37.017	0.333	keypress_left
37.017	0.517	action_leftwalk
37.517	0.1	keypress_right
37.533	0.017	action_rest
37.55	11.583	action_rightwalk
38.067	0.567	action_jump
38.067	0.383	keypress_jump
38.333	0.017	reward_coin
38.7	0.567	action_jump
38.7	0.35	keypress_jump
38.967	0.017	reward_coin
39.3	0.567	action_jump
39.3	0.367	keypress_jump
39.567	0.017	reward_coin
39.9	0.367	keypress_jump
39.9	0.567	action_jump
40.167	0.017	reward_coin
40.483	0.367	keypress_jump
40.483	0.567	action_jump
40.75	0.017	reward_coin
41.05	0.45	keypress_jump
41.617	0.433	keypress_jump
41.617	0.567	action_jump
41.883	0.017	reward_coin
42.333	0.383	keypress_jump
42.333	0.567	action_jump
42.6	0.017	reward_coin
43.067	1.3	keypress_right
43.3	0.467	keypress_jump
43.3	0.7	action_jump
44.417	15.667	onscreen_enemy
45.133	0.133	keypress_right
45.567	0.267	keypress_right
47.033	0.267	keypress_jump
47.033	0.933	action_jump
47.617	0.3	reward_enemykill_stomp
47.733	3.0	keypress_right
47.917	2.883	reward_enemykill_kick
47.933	0.817	reward_enemykill_impact
49.133	1.233	keypress_runshoot
49.133	1.5	action_rightrun
50.433	0.2	keypress_jump
50.433	0.6	action_jump
50.717	0.017	reward_coin
51.117	0.117	keypress_right
51.133	1.85	action_rightwalk
51.717	0.633	keypress_jump
51.717	0.583	action_jump
51.833	1.083	keypress_right
52.5	0.017	reward_coin
52.7	0.017	reward_coin
52.883	0.017	reward_coin
52.967	1.167	keypress_left
52.983	0.15	action_rest
53.133	1.317	action_leftwalk
54.15	2.017	keypress_right
54.417	0.7	reward_enemykill_stomp
54.45	0.017	action_rightwalk
54.467	0.317	action_rest
54.783	2.45	action_rightwalk
55.983	0.217	keypress_jump
55.983	0.967	action_jump
56.583	0.633	reward_enemykill_stomp
56.717	0.4	keypress_right
57.233	0.617	action_leftwalk
57.233	0.183	keypress_left
57.65	0.15	keypress_left
57.833	0.467	keypress_right
57.85	0.017	action_rest
57.867	2.217	action_rightwalk
58.267	0.383	action_jump
58.267	0.117	keypress_jump
58.433	0.017	reward_coin
58.833	0.55	keypress_right
59.033	0.317	keypress_jump
59.033	1.05	action_jump
59.667	0.033	keypress_right
59.717	0.367	reward_enemykill_stomp
59.917	0.167	keypress_jump
59.933	0.15	keypress_right
