onset	duration	trial_type
0.0	0.917	action_rest
0.0	7.9	onscreen_enemy
0.9	0.433	keypress_right
0.917	3.483	action_rightwalk
1.55	0.417	keypress_right
2.767	0.433	keypress_right
3.017	0.817	action_jump
3.017	0.167	keypress_jump
3.367	0.183	keypress_left
3.5	2.367	reward_enemykill_stomp
4.383	0.8	action_jump
4.383	0.433	keypress_jump
4.383	0.4	keypress_left
4.4	0.017	action_leftwalk
4.417	0.8	action_rest
4.933	0.283	keypress_right
5.083	0.25	keypress_runshoot
5.217	0.3	action_rightwalk
5.417	0.8	keypress_right
5.517	0.167	keypress_runshoot
5.517	0.317	action_rightrun
5.833	0.217	action_rightwalk
5.867	2.033	reward_enemykill_kick
6.05	0.183	keypress_runshoot
6.05	0.167	action_rightrun
6.25	1.05	reward_enemykill_impact
6.333	0.483	keypress_right
6.333	0.033	action_rightrun
6.4	0.067	action_rightwalk
6.467	0.317	action_rightrun
6.467	0.167	keypress_runshoot
6.817	0.517	action_rightwalk
6.9	0.117	keypress_runshoot
7.317	0.217	keypress_right
7.333	0.2	action_rightrun
7.333	0.167	keypress_runshoot
7.533	0.1	action_rightwalk
7.633	0.15	keypress_right
7.633	0.017	action_rightrun
7.65	0.567	action_rightwalk
8.117	0.5	keypress_right
8.217	0.4	action_rightrun
8.217	0.383	keypress_runshoot
8.617	27.8	onscreen_enemy
8.717	0.217	keypress_right
8.717	0.033	action_rightrun
8.783	0.15	action_rightrun
8.783	0.167	keypress_runshoot
9.583	0.283	keypress_right
9.6	1.833	action_rightwalk
9.767	0.267	keypress_jump
9.767	1.533	action_jump
10.067	0.2	keypress_left
10.367	1.167	reward_enemykill_stomp
10.45	0.217	keypress_right
10.467	0.2	keypress_jump
10.883	0.8	keypress_right
11.433	0.25	action_rightrun
11.433	0.233	keypress_runshoot
11.867	0.167	keypress_right
11.9	1.417	action_rightwalk
12.517	0.217	keypress_right
12.633	0.2	keypress_jump
12.633	0.85	action_jump
12.9	0.717	keypress_left
13.133	0.3	reward_enemykill_stomp
13.317	0.017	action_leftwalk
13.333	0.183	action_rest
13.433	0.983	reward_enemykill_kick
13.517	0.767	action_leftwalk
13.817	1.067	action_jump
13.817	0.383	keypress_jump
13.983	0.783	keypress_right
14.283	0.017	action_rightwalk
14.3	0.783	action_rest
14.533	4.3	reward_enemykill_stomp
15.067	0.35	keypress_right
15.083	0.167	action_rightwalk
15.25	0.167	action_rightrun
15.25	0.2	keypress_runshoot
15.417	0.017	action_rightwalk
15.583	0.383	keypress_left
15.733	0.05	action_leftwalk
15.783	0.817	keypress_runshoot
15.783	0.183	action_leftrun
15.967	0.15	action_leftwalk
16.1	0.467	keypress_right
16.117	0.017	action_rest
16.133	0.433	action_rightrun
16.567	0.033	action_rightwalk
16.6	0.117	action_rightrun
16.6	0.867	keypress_right
16.717	11.133	action_rightwalk
16.867	0.667	action_jump
16.867	0.5	keypress_jump
18.1	1.6	keypress_right
18.833	0.683	action_jump
18.833	0.483	keypress_jump
19.917	0.383	keypress_right
20.567	0.2	keypress_right
21.683	0.217	keypress_right
22.133	0.133	keypress_jump
22.133	0.483	action_jump
23.1	0.2	keypress_right
23.117	0.2	keypress_jump
23.117	0.883	action_jump
23.433	0.217	keypress_left
23.667	0.467	reward_enemykill_stomp
23.85	0.317	keypress_right
24.267	0.45	keypress_right
25.183	0.4	keypress_right
26.0	0.683	keypress_right
26.417	0.3	keypress_jump
26.417	1.417	action_jump
26.767	0.117	keypress_left
27.2	0.383	keypress_left
27.4	1.3	reward_enemykill_stomp
27.817	0.1	keypress_left
27.85	0.933	action_leftwalk
28.167	0.217	keypress_jump
28.167	0.583	action_jump
28.167	0.233	keypress_left
28.55	0.35	keypress_right
28.7	0.8	reward_enemykill_kick
28.783	0.017	action_rest
28.8	2.433	action_rightwalk
28.817	0.85	reward_enemykill_impact
29.033	0.65	keypress_right
29.75	0.733	keypress_right
30.25	0.2	keypress_jump
30.25	0.95	action_jump
30.833	0.65	reward_enemykill_stomp
30.867	0.333	keypress_jump
30.983	0.633	keypress_left
31.233	0.083	action_rest
31.317	0.85	action_leftwalk
31.75	0.25	keypress_left
32.15	0.417	keypress_right
32.167	0.033	action_rest
32.2	3.333	action_rightwalk
32.467	0.167	keypress_jump
32.467	0.85	action_jump
32.717	0.35	keypress_left
32.967	0.617	reward_enemykill_stomp
34.0	0.333	keypress_right
34.017	0.317	keypress_jump
34.017	1.267	action_jump
34.417	0.217	keypress_left
34.933	0.3	reward_enemykill_stomp
35.2	0.1	keypress_left
35.233	1.183	reward_enemykill_kick
35.533	0.033	keypress_left
35.533	0.2	action_leftwalk
35.583	0.2	keypress_jump
35.583	0.567	action_jump
35.7	1.233	keypress_right
35.733	0.017	action_rightwalk
35.75	0.433	action_rest
36.183	0.033	action_rightwalk
36.217	0.233	action_rightrun
36.217	0.6	keypress_runshoot
36.333	0.467	keypress_jump
36.333	0.617	action_jump
36.983	0.383	action_jump
36.983	0.333	keypress_jump
37.1	0.3	keypress_left
37.533	0.367	action_jump
37.533	0.333	keypress_jump
37.683	0.2	keypress_right
37.683	2.85	onscreen_powerup
37.867	0.067	reward_enemykill_stomp
38.083	0.15	keypress_right
38.1	2.65	action_rightwalk
38.417	0.25	keypress_right
38.817	0.133	keypress_right
39.05	0.367	keypress_right
39.167	0.6	keypress_jump
39.167	1.133	action_jump
39.283	4.517	onscreen_enemy
39.783	0.233	keypress_left
40.233	0.15	keypress_right
40.533	11.95	reward_powerup_taken
40.583	0.983	keypress_right
40.75	0.817	action_rightrun
40.75	0.817	keypress_runshoot
40.933	1.117	reward_enemykill_impact
41.867	0.217	keypress_right
41.883	0.067	action_rightwalk
41.95	0.133	action_rightrun
41.95	0.433	keypress_runshoot
42.25	0.233	keypress_left
42.3	0.083	keypress_jump
42.3	0.467	action_jump
42.617	0.667	keypress_right
42.8	2.367	action_rightwalk
43.0	0.4	action_jump
43.0	0.167	keypress_jump
43.467	2.233	keypress_right
43.767	0.883	action_jump
43.767	0.8	keypress_jump
43.917	28.417	onscreen_enemy
45.033	1.517	reward_enemykill_impact
45.167	0.533	action_rightrun
45.167	0.65	keypress_runshoot
45.9	2.9	keypress_right
45.933	0.033	action_rightwalk
45.967	0.483	action_rightrun
45.967	0.333	keypress_runshoot
46.483	0.75	action_rightrun
46.483	0.6	keypress_runshoot
46.867	0.95	reward_enemykill_impact
47.267	0.033	action_rightwalk
47.3	0.467	keypress_runshoot
47.3	0.617	action_rightrun
47.9	1.017	reward_enemykill_impact
47.95	1.017	action_rightwalk
48.233	0.483	keypress_jump
48.233	0.6	action_jump
48.95	0.167	keypress_left
48.967	0.383	action_rest
49.233	0.183	keypress_right
49.35	0.433	action_rightwalk
49.383	0.383	action_jump
49.383	0.4	keypress_jump
49.483	0.633	keypress_left
49.783	1.033	action_leftwalk
50.083	0.367	action_jump
50.083	0.35	keypress_jump
50.533	0.35	keypress_jump
50.533	0.367	action_jump
50.533	1.283	keypress_right
50.817	0.017	action_rightwalk
50.833	0.1	action_rest
50.933	0.15	action_rightwalk
51.083	0.85	action_rightrun
51.083	0.85	keypress_runshoot
51.367	0.367	keypress_jump
51.367	0.8	action_jump
51.917	0.983	keypress_right
51.933	6.583	action_rightwalk
53.333	0.15	keypress_right
56.85	0.333	keypress_right
56.9	0.233	keypress_jump
56.9	0.483	action_jump
58.433	1.35	keypress_right
58.517	0.2	action_rightrun
58.517	0.6	keypress_runshoot
58.717	0.767	action_jump
58.717	0.4	keypress_jump
58.717	0.783	action_rightwalk
59.367	0.383	keypress_runshoot
59.5	0.417	action_rightrun
59.95	0.133	keypress_left
60.267	0.35	keypress_right
60.283	3.383	action_rightwalk
60.783	0.417	keypress_right
60.85	0.2	keypress_jump
60.85	0.433	action_jump
62.867	0.25	keypress_right
62.9	0.9	action_jump
62.9	0.217	keypress_jump
63.4	0.417	keypress_left
63.667	0.017	action_leftwalk
63.683	0.867	action_rest
64.533	0.733	keypress_right
64.55	1.3	action_rightwalk
64.583	1.05	action_jump
64.583	0.267	keypress_jump
65.3	1.1	reward_enemykill_stomp
65.417	0.233	keypress_left
65.85	0.55	keypress_left
65.85	1.717	action_leftwalk
65.933	0.333	action_jump
65.933	0.017	keypress_jump
66.083	0.317	keypress_jump
66.4	5.933	reward_enemykill_kick
66.433	0.2	keypress_jump
66.433	0.9	action_jump
66.717	0.167	keypress_right
67.0	0.117	keypress_right
67.55	1.733	keypress_right
67.567	0.017	action_rest
67.583	4.733	action_rightwalk
67.633	1.05	action_jump
67.633	0.383	keypress_jump
68.483	3.85	reward_enemykill_impact
68.817	0.25	keypress_jump
68.817	3.517	action_jump
68.833	3.45	loss_dying
69.5	0.25	keypress_runshoot
69.667	0.217	keypress_jump
70.083	0.167	keypress_runshoot
70.233	0.283	keypress_right
70.383	0.117	keypress_runshoot
71.833	0.217	keypress_right
72.333	0.133	keypress_jump
72.833	0.05	keypress_right
73.15	0.117	keypress_jump
73.917	0.35	keypress_right
74.617	0.233	keypress_right
75.183	4.067	onscreen_enemy
75.2	0.1	action_rest
75.283	0.433	keypress_right
75.3	5.217	action_rightwalk
76.083	0.567	keypress_right
76.2	0.467	keypress_jump
76.2	0.817	action_jump
76.75	0.2	keypress_left
77.117	0.467	keypress_right
77.767	0.3	keypress_right
78.167	1.933	keypress_right
78.583	0.45	action_jump
78.583	0.217	keypress_jump
79.167	0.85	keypress_jump
79.167	0.883	action_jump
79.367	9.183	onscreen_enemy
80.217	0.467	keypress_left
80.517	1.317	action_leftwalk
80.65	0.867	action_jump
80.65	0.217	keypress_jump
80.917	0.033	keypress_right
81.2	0.667	reward_enemykill_stomp
81.367	0.117	keypress_left
81.667	0.283	keypress_jump
81.667	0.95	action_jump
81.817	0.133	keypress_right
81.833	0.017	action_rightwalk
