onset	duration	trial_type
0.0	5.717	onscreen_enemy
0.0	6.533	action_rightwalk
0.467	0.65	keypress_right
0.917	0.15	keypress_jump
0.917	0.567	action_jump
1.0	2.467	onscreen_powerup
1.133	0.267	reward_enemykill_stomp
1.4	0.767	reward_enemykill_kick
3.367	0.05	keypress_right
3.433	0.25	action_jump
3.433	0.017	keypress_jump
3.467	12.25	reward_powerup_taken
3.533	0.017	reward_coin
3.7	0.017	keypress_right
3.967	2.15	keypress_right
4.7	1.017	reward_enemykill_impact
4.983	0.533	action_jump
4.983	0.417	keypress_jump
6.283	3.317	keypress_right
6.317	3.117	onscreen_enemy
6.533	1.183	keypress_runshoot
6.533	1.333	action_rightrun
7.167	1.583	reward_enemykill_impact
7.183	0.767	action_jump
7.183	0.35	keypress_jump
7.983	16.667	action_rightwalk
8.817	0.667	keypress_jump
8.817	0.767	action_jump
9.767	0.167	keypress_right
9.767	0.417	action_jump
9.767	0.133	keypress_jump
10.35	0.5	keypress_jump
10.35	6.7	keypress_right
10.35	0.85	action_jump
10.95	0.417	keypress_up
12.333	0.767	action_jump
12.333	0.717	keypress_jump
13.283	0.317	action_jump
13.283	0.05	keypress_jump
13.8	1.083	action_jump
13.8	0.65	keypress_jump
15.3	0.8	action_jump
15.3	0.55	keypress_jump
16.317	2.833	onscreen_enemy
16.85	0.25	action_jump
16.85	0.083	keypress_jump
16.933	0.017	reward_bricksmash
17.283	0.733	action_jump
17.283	0.133	keypress_jump
17.3	0.133	keypress_right
17.367	0.017	reward_bricksmash
17.633	0.533	reward_enemykill_stomp
17.983	5.367	keypress_right
18.283	0.183	keypress_jump
18.283	0.467	action_jump
18.85	0.783	action_jump
18.85	0.533	keypress_jump
19.717	0.517	keypress_jump
19.717	0.733	action_jump
20.5	0.117	keypress_jump
20.5	0.4	action_jump
21.067	0.067	keypress_jump
21.067	0.333	action_jump
21.9	11.0	onscreen_enemy
22.8	0.4	action_jump
22.8	0.55	keypress_jump
24.65	0.067	action_rest
24.717	8.183	action_rightwalk
25.917	4.467	reward_bricksmash
30.383	0.45	keypress_right
34.633	2.25	keypress_right
34.833	5.833	onscreen_enemy
34.85	0.3	action_rest
35.15	5.5	action_rightwalk
36.683	0.067	keypress_jump
36.683	3.983	action_jump
37.117	3.55	reward_enemykill_stomp
37.15	3.467	loss_dying
42.667	3.167	keypress_right
43.233	4.6	onscreen_enemy
43.25	0.3	action_rest
43.55	5.417	action_rightwalk
45.083	0.283	keypress_jump
45.083	0.767	action_jump
45.233	2.733	onscreen_powerup
45.4	0.683	reward_enemykill_stomp
46.667	0.9	action_jump
46.667	0.217	keypress_jump
47.233	0.6	reward_enemykill_stomp
47.967	0.983	reward_powerup_taken
48.25	0.067	keypress_right
48.383	1.117	keypress_left
48.967	1.75	action_leftwalk
49.483	0.25	action_jump
49.483	0.133	keypress_jump
49.567	0.017	reward_coin
49.683	0.25	keypress_left
49.933	0.25	action_jump
49.933	0.117	keypress_jump
50.017	0.017	reward_coin
50.05	0.6	keypress_left
50.7	0.683	keypress_right
50.717	0.017	action_rest
50.733	1.033	action_rightwalk
51.367	0.083	keypress_jump
51.367	0.25	action_jump
51.45	0.017	reward_coin
51.533	0.067	keypress_right
51.75	0.15	keypress_left
51.767	0.267	action_rest
52.017	0.183	keypress_right
52.033	0.717	action_rightwalk
52.45	0.117	keypress_right
52.75	1.117	action_leftwalk
52.75	0.3	keypress_left
53.117	0.233	action_jump
53.117	0.1	keypress_jump
53.2	0.017	reward_coin
53.3	0.067	keypress_right
53.85	3.667	keypress_right
53.867	0.017	action_rest
53.883	3.9	action_rightwalk
54.717	0.217	keypress_jump
54.717	0.5	action_jump
54.717	2.85	onscreen_enemy
55.283	0.517	keypress_jump
55.283	0.783	action_jump
57.133	0.433	reward_enemykill_stomp
57.783	1.95	action_leftwalk
57.783	0.2	keypress_left
58.3	0.25	keypress_left
58.567	0.4	action_jump
58.567	0.217	keypress_jump
58.733	0.017	reward_coin
59.083	0.167	keypress_left
59.5	0.167	keypress_left
59.717	0.3	keypress_right
59.733	0.017	action_rest
59.75	0.3	action_rightwalk
