trial_type	game	level	stim_file	onset	sample	offset	duration	key	question	value
gym-retro_game	SuperMarioBros-Nes	Level1-1	/home/himanshu/Desktop/IBC/cognitive_protocols/mario/output/sourcedata/sub-99/ses-99/sub-99_ses-99_20230322-150005_SuperMarioBros-Nes_Level1-1_000.bk2	0.018882036209106445	282864.62163889	60.010743856430054	59.99186182022095			
keypress				4.549736022949219	282869.585443099	4.982648849487305	0.43291282653808594	b		
keypress				5.13298487663269	282870.051958943	5.4356818199157715	0.30269694328308105	b		
keypress				2.383126974105835	282870.118852677	5.507508993148804	3.1243820190429688	r		
keypress				6.340086936950684	282871.985245096	7.371577024459839	1.0314900875091553	l		
keypress				7.898881912231445	282872.685130842	8.067967891693115	0.16908597946166992	b		
keypress				7.699134826660156	282872.685133786	8.08232593536377	0.3831911087036133	r		
keypress				8.365748882293701	282873.734746425	9.131945848464966	0.7661969661712646	r		
keypress				9.16546082496643	282873.851703352	9.235568046569824	0.07010722160339355	b		
keypress				9.348995923995972	282874.018466093	9.403746843338013	0.054750919342041016	r		
keypress				11.016206979751587	282875.751629055	11.148834943771362	0.1326279640197754	r		
keypress				12.248692989349365	282877.151068956	12.548266887664795	0.2995738983154297	b		
keypress				11.448639869689941	282877.268015062	12.665211915969849	1.2165720462799072	r		
keypress				12.848604917526245	282877.517901362	12.915096998214722	0.06649208068847656	r		
keypress				13.065037965774536	282878.667877388	14.06507396697998	1.0000360012054443	l		
keypress				14.084131956100464	282878.901230545	14.298429012298584	0.21429705619812012	r		
keypress				14.131762027740479	282878.91747915	14.300716876983643	0.16895484924316406	b		
keypress				14.614784955978394	282879.484339746	14.881534814834595	0.26674985885620117	l		
keypress				15.848181962966919	282881.150623832	16.533573865890503	0.685391902923584	b		
keypress				17.54800295829773	282882.484022956	17.881229877471924	0.33322691917419434	b		
keypress				18.614425897598267	282883.350544507	18.747750997543335	0.13332509994506836	b		
keypress				14.581739902496338	282883.3838072	18.780997037887573	4.199257135391235	r		
keypress				19.264432907104492	282884.417044686	19.8142409324646	0.5498080253601074	b		
keypress				21.38076090812683	282886.583526795	21.980731964111328	0.5999710559844971	b		
keypress				23.913874864578247	282888.982899696	24.38010597229004	0.466231107711792	b		
keypress				19.16440200805664	282889.96632559	25.36353087425232	6.199128866195679	r		
keypress				25.463726043701172	282890.149573803	25.532536029815674	0.06880998611450195	b		
keypress				25.630281925201416	282890.283124653	25.680327892303467	0.05004596710205078	r		
keypress				26.29663896560669	282891.282575885	26.67977285385132	0.3831338882446289	b		
keypress				27.365664958953857	282892.299392728	27.696589946746826	0.33092498779296875	k		
keypress				27.863327980041504	282893.099303024	28.496498823165894	0.6331708431243896	l		
keypress				28.479936838150024	282893.215943322	28.61313796043396	0.13320112228393555	b		
keypress				28.563127994537354	282893.299234883	28.696427822113037	0.1332998275756836	r		
keypress				29.196501970291138	282894.032240587	29.429436922073364	0.23293495178222656	r		
keypress				29.729745864868164	282895.032183794	30.42937994003296	0.6996340751647949	b		
keypress				32.69613695144653	282897.965325724	33.362531900405884	0.6663949489593506	b		
keypress				33.47911286354065	282898.231804102	33.62901186943054	0.14989900588989258	l		
keypress				34.16491484642029	282898.915232883	34.312439918518066	0.14752507209777832	y		
keypress				34.41230487823486	282899.148539422	34.545745849609375	0.13344097137451172	y		
keypress				34.66235685348511	282899.38155774	34.76472783088684	0.1023709774017334	y		
keypress				34.84562802314758	282899.531773638	34.92898201942444	0.08335399627685547	y		
keypress				34.99878287315369	282899.665020327	35.06222701072693	0.06344413757324219	y		
keypress				35.164952993392944	282899.848314972	35.24549984931946	0.08054685592651367	y		
keypress				35.34562587738037	282900.014807528	35.412012815475464	0.06638693809509277	y		
keypress				35.52896785736084	282900.198391275	35.595597982406616	0.06663012504577637	y		
keypress				35.69557285308838	282900.381458957	35.76445198059082	0.0688791275024414	y		
keypress				35.87872791290283	282900.548404349	35.94561004638672	0.06688213348388672	y		
keypress				36.06228494644165	282900.748106569	36.145313024520874	0.08302807807922363	y		
keypress				36.26216197013855	282900.964652745	36.34774398803711	0.08558201789855957	y		
keypress				36.462076902389526	282901.181387202	36.57856798171997	0.11649107933044434	y		
keypress				36.71205401420593	282901.431443352	36.82864999771118	0.11659598350524902	y		
keypress				30.029917001724243	282902.148130272	37.545336961746216	7.515419960021973	r		
keypress				37.89525604248047	282902.831103877	38.228309869766235	0.3330538272857666	b		
keypress				37.711792945861816	282902.86440782	38.26160287857056	0.5498099327087402	r		
keypress				38.39527487754822	282903.197710522	38.59491682052612	0.19964194297790527	r		
keypress				38.51187086105347	282903.214493401	38.597216844558716	0.08534598350524902	b		
keypress				39.31176400184631	282904.314316416	39.71152091026306	0.39975690841674805	b		
keypress				39.06168794631958	282904.331118457	39.7283239364624	0.6666359901428223	r		
keypress				40.01257801055908	282904.780938502	40.17810797691345	0.16552996635437012	r		
keypress				40.51163983345032	282906.114256916	41.51141595840454	0.9997761249542236	r		
keypress				40.91156888008118	282906.11426038	41.51147103309631	0.5999021530151367	b		
keypress				41.894826889038086	282906.980995592	42.378209829330444	0.4833829402923584	l		
keypress				42.37815499305725	282907.297320492	42.69451689720154	0.3163619041442871	b		
keypress				42.32808184623718	282907.347155576	42.744345903396606	0.41626405715942383	r		
keypress				42.961308002471924	282907.614721503	43.011900901794434	0.050592899322509766	r		
keypress				42.86095190048218	282907.647326536	43.044519901275635	0.18356800079345703	b		
keypress				43.461113929748535	282908.463785726	43.86098384857178	0.3998699188232422	l		
keypress				44.0942759513855	282908.913692326	44.31088995933533	0.2166140079498291	l		
