trial_type	game	level	stim_file	onset	sample	nframes	offset	duration	key	question	value
gym-retro_game	SuperMarioBros-Nes	Level1-2	/home/himanshu/Desktop/IBC/cognitive_protocols/mario/output/sourcedata/sub-99/ses-99/sub-99_ses-99_20230322-150005_SuperMarioBros-Nes_Level1-2_002.bk2	0.017930030822753906	283137.910995632	2308.0	38.42834806442261	38.41041803359985			
keypress				0.41922497749328613	283138.426758524		0.5336120128631592	0.11438703536987305	e		
keypress				0.6503269672393799	283138.760057143		0.8669440746307373	0.21661710739135742	l		
keypress				0.650230884552002	283139.276514717		1.369102954864502	0.7188720703125	e		
keypress				2.700161933898926	283141.159550131		3.26643705368042	0.5662751197814941	b		
keypress				4.002043962478638	283142.69270416		4.799601078033447	0.7975571155548096	b		
keypress				1.900007963180542	283142.70936887		4.816263914108276	2.9162559509277344	r		
keypress				4.966518878936768	283142.942727056		5.049607038497925	0.08308815956115723	b		
keypress				4.949857950210571	283142.959313298		5.066206932067871	0.1163489818572998	r		
keypress				5.516300916671753	283143.576076635		5.682971954345703	0.1666710376739502	b		
keypress				5.43546986579895	283143.74262896		5.849524974822998	0.41405510902404785	r		
keypress				6.766280889511108	283145.159180696		7.266077041625977	0.49979615211486816	b		
keypress				6.385322093963623	283145.192542767		7.299439907073975	0.9141178131103516	r		
keypress				7.732620000839233	283145.975485068		8.082381010055542	0.3497610092163086	b		
keypress				7.716116905212402	283146.009035685		8.115931987762451	0.39981508255004883	r		
keypress				8.182733058929443	283146.442346585		8.549242973327637	0.36650991439819336	b		
keypress				8.865931034088135	283147.558887065		9.665785074234009	0.799854040145874	b		
keypress				10.601392030715942	283148.591993159		10.698889017105103	0.09749698638916016	b		
keypress				11.01820707321167	283149.158656942		11.265542984008789	0.24733591079711914	b		
keypress				8.21610689163208	283149.758717827		11.865614891052246	3.649507999420166	r		
keypress				12.39877986907959	283150.658434243		12.765331029891968	0.36655116081237793	b		
keypress				12.28208303451538	283150.691810637		12.798707962036133	0.516624927520752	r		
keypress				13.098641872406006	283151.324783948		13.417731046676636	0.3190891742706299	b		
keypress				13.065204858779907	283151.425119731		13.532017946243286	0.4668130874633789	r		
keypress				14.315041065216064	283152.874849837		14.981746912002563	0.666705846786499	b		
keypress				13.732038021087646	283152.925671826		15.03256607055664	1.3005280494689941	r		
keypress				15.48153805732727	283153.408086637		15.51497197151184	0.03343391418457031	b		
keypress				15.281761884689331	283153.424575932		15.531461954116821	0.24970006942749023	r		
keypress				15.731581926345825	283153.691351444		15.798238039016724	0.06665611267089844	b		
keypress				15.714783906936646	283153.724642333		15.816951990127563	0.10216808319091797	r		
keypress				16.498158931732178	283154.87446402		16.981361865997314	0.4832029342651367	b		
keypress				17.4645779132843	283155.724532475		17.83142590522766	0.3668479919433594	b		
keypress				18.898024082183838	283157.274145732		19.38104486465454	0.4830207824707031	b		
keypress				19.931164026260376	283158.174121907		20.28101897239685	0.3498549461364746	b		
keypress				21.216921091079712	283159.323711246		21.416496992111206	0.19957590103149414	t		
keypress				21.54750394821167	283159.80725163		21.914139986038208	0.3666360378265381	y		
keypress				16.114779949188232	283160.123865754		22.2165949344635	6.1018149852752686	r		
keypress				24.83056092262268	283163.290098502		25.396995067596436	0.5664341449737549	b		
keypress				25.646931886672974	283163.9900076		26.08236598968506	0.43543410301208496	b		
keypress				26.513468980789185	283164.539901094		26.63236904144287	0.11890006065368652	b		
keypress				27.930147886276245	283166.689437871		28.79632306098938	0.8661751747131348	t		
keypress				28.146633863449097	283166.723024387		28.829911947250366	0.6832780838012695	b		
keypress				23.49736785888672	283166.789527777		28.896373987197876	5.399006128311157	r		
keypress				30.463140964508057	283168.406139475		30.513036966323853	0.0498960018157959	y		
keypress				30.32965087890625	283168.589692356		30.696588039398193	0.36693716049194336	r		
gym-retro_game	SuperMarioBros-Nes	Level1-3	/home/himanshu/Desktop/IBC/cognitive_protocols/mario/output/sourcedata/sub-99/ses-99/sub-99_ses-99_20230322-150005_SuperMarioBros-Nes_Level1-3_000.bk2	38.462774991989136	283176.355863156		60.009844064712524	21.54706907272339			
keypress				40.62834692001343	283178.871478348		40.97836399078369	0.35001707077026367	b		
keypress				41.114124059677124	283180.021470123		42.12836694717407	1.0142428874969482	y		
keypress				42.16155695915222	283180.237838232		42.33051109313965	0.16895413398742676	b		
keypress				40.34522795677185	283180.321325309		42.42822289466858	2.0829949378967285	r		
keypress				42.77808594703674	283181.404733878		43.511626958847046	0.7335410118103027	r		
keypress				42.87803387641907	283181.421071437		43.51406288146973	0.6360290050506592	b		
keypress				43.8947639465332	283182.004161659		44.09864401817322	0.20388007164001465	l		
keypress				44.36107802391052	283182.520883071		44.62771487236023	0.26663684844970703	l		
keypress				45.29454803466797	283183.404093165		45.49668097496033	0.2021329402923584	l		
keypress				46.04523205757141	283184.087294283		46.19418001174927	0.14894795417785645	y		
keypress				46.37768197059631	283184.403943516		46.49650597572327	0.11882400512695312	y		
keypress				46.727582931518555	283184.737252285		46.84414005279541	0.11655712127685547	t		
keypress				47.56047797203064	283185.637081308		47.729706048965454	0.16922807693481445	l		
keypress				47.946534872055054	283185.903599784		48.01048803329468	0.06395316123962402	l		
keypress				48.8274610042572	283186.853551618		48.960448026657104	0.13298702239990234	r		
keypress				49.410638093948364	283187.453667113		49.56056308746338	0.14992499351501465	b		
keypress				49.077142000198364	283187.470139237		49.57703685760498	0.4998948574066162	r		
keypress				51.562695026397705	283189.903356237		52.010252952575684	0.4475579261779785	b		
keypress				52.47657799720764	283190.869568263		52.96242690086365	0.48584890365600586	b		
